5, 9, 4, 5, 21
3, 4, 3, 5, 13
6, 13, 12, 6, 46
3, 6, 11, 6, 11
5, 9, 10, 6, 20
4, 6, 9, 6, 9
9, 19, 8, 6, 44
5, 6, 7, 6, 24
6, 11, 6, 6, 30
5, 11, 5, 6, 51
1, 1, 4, 6, 3
6, 11, 3, 6, 32
13, 932, 14, 7, 2831
6, 12, 16, 8, 22
8, 22, 15, 8, 37
1, 1, 14, 8, 2
3, 3, 18, 9, 8
9, 27, 20, 10, 49
3, 3, 19, 10, 20
14, 110, 18, 10, 569
0, 0, 22, 11, 0
9, 20, 21, 11, 29
10, 66, 20, 11, 108
7, 24, 24, 12, 44
23, 77317, 23, 12, 237649
18, 282, 26, 13, 934
7, 15, 28, 14, 40
12, 12, 30, 15, 48
19, 9915, 32, 16, 23962
11, 35, 34, 17, 63
19, 150, 38, 19, 246
15, 132, 40, 20, 260
2, 2, 44, 22, 20
8, 31, 43, 22, 93
22, 4192577, 42, 22, 27759531
17, 41, 46, 23, 177
1, 1, 4, 2, 11
1, 1, 3, 2, 5
6, 8, 5, 3, 32
4, 6, 4, 3, 25
2, 2, 3, 3, 8
4, 5, 8, 4, 46
3, 3, 7, 4, 15
4, 6, 6, 4, 30
3, 4, 5, 4, 18
4, 6, 4, 4, 43
3, 5, 3, 4, 22
4, 4, 10, 5, 3515
10, 27, 9, 5, 139
5, 8, 8, 5, 71
4, 8, 6, 5, 54
6, 13, 5, 5, 68
0, 0, 4, 5, 1
4, 6, 3, 5, 21
7, 18, 12, 6, 63
7, 11, 11, 6, 39
6, 16, 10, 6, 59
1, 1, 8, 6, 7
5, 12, 7, 6, 48
5, 5, 6, 6, 27
2, 3, 5, 6, 10
8, 53, 4, 6, 166
5, 9, 3, 6, 22
9, 18, 14, 7, 64
11, 59, 13, 7, 259
5, 12, 16, 8, 36
10, 48, 15, 8, 229
13, 53, 14, 8, 149
3, 3, 18, 9, 23
13, 28, 16, 9, 61
12, 32, 20, 10, 78
17, 177, 22, 11, 192
12, 74, 24, 12, 116
5, 10, 28, 14, 65
17, 564, 27, 14, 2462
8, 15, 30, 15, 40
3, 3, 4, 2, 22
3, 3, 3, 2, 18
1, 1, 6, 3, 12
0, 0, 5, 3, 2
3, 4, 4, 3, 37
2, 2, 3, 3, 42
3, 3, 8, 4, 26
5, 10, 7, 4, 102
6, 8, 6, 4, 47
2, 2, 5, 4, 698
3, 6, 4, 4, 58
2, 2, 3, 4, 43
2, 2, 10, 5, 16
6, 10, 9, 5, 111
7, 22, 8, 5, 211
9, 20, 7, 5, 183
5, 12, 6, 5, 90
3, 5, 5, 5, 90
6, 10, 4, 5, 121
2, 2, 3, 5, 30
6, 6, 12, 6, 58
1, 1, 11, 6, 10
2, 3, 10, 6, 18
7, 23, 9, 6, 182
3, 4, 8, 6, 30
7, 15, 7, 6, 70
3, 3, 6, 6, 13
2, 2, 5, 6, 6
3, 3, 4, 6, 11
3, 3, 3, 6, 10
9, 23, 14, 7, 92
8, 23, 13, 7, 116
3, 3, 11, 7, 20
8, 29, 10, 7, 87
5, 11, 9, 7, 48
2, 3, 8, 7, 12
4, 9, 7, 7, 30
2, 3, 6, 7, 9
7, 14, 5, 7, 53
5, 10, 4, 7, 31
1, 1, 3, 7, 3
4, 10, 16, 8, 24
2, 2, 15, 8, 11
8, 12, 14, 8, 29
1, 1, 13, 8, 9
5, 5, 12, 8, 26
7, 18, 11, 8, 52
7, 17, 10, 8, 39
1, 1, 9, 8, 3
4, 4, 8, 8, 11
4, 4, 7, 8, 7
4, 4, 6, 8, 5
5, 13, 18, 9, 30
2, 2, 17, 9, 5
12, 52, 16, 9, 74
5, 5, 20, 10, 22
11, 35, 19, 10, 108
5, 7, 26, 13, 25
2, 2, 25, 13, 3
